Feature,Importance_23_TH-PGWL0216.csv,Importance_24_AN-DEB020.csv,Importance_27_AN-62M01.csv,Importance_31_SW-60110129.csv,Importance_43_AN-WELL280T.csv,Importance_44_TH-PGWB0004.csv,Importance_84_NW-88003872.csv
f0,4,3,10,8,34,39,31
f1,4,28,8,3,19,41,38
f10,1,1,9,1,0,12,20
f11,4,1,4,2,7,7,9
f12,0,0,1,0,1,5,5
f13,0,15,3,1,4,7,64
f14,48,9,1,3,29,37,46
f15,0,0,1,0,22,17,18
f16,0,1,0,0,0,26,19
f17,1,12,0,0,41,3,43
f18,0,0,3,0,0,1,17
f19,3,6,0,0,2,27,51
f2,15,0,55,5,5,42,95
f20,2,23,38,7,5,39,72
f21,2,5,1,0,0,41,11
f22,0,0,4,3,4,0,10
f23,2,1,8,0,33,25,6
f24,1,0,1,0,26,5,3
f25,4,3,1,0,1,1,9
f26,1,5,0,0,1,4,18
f27,0,12,37,0,1,0,21
f28,0,0,0,0,7,16,12
f29,15,0,18,0,2,40,48
f3,4,21,38,5,39,17,79
f30,2,0,1,3,0,5,33
f31,0,0,0,0,0,4,26
f32,0,0,4,0,1,0,16
f33,0,0,0,0,3,13,12
f34,6,24,15,0,19,44,82
f35,0,0,0,2,2,11,7
f36,1,0,1,4,16,9,12
f37,0,0,0,0,0,1,1
f38,0,0,0,0,0,1,1
f39,0,0,3,0,0,1,7
f4,29,6,15,15,104,44,21
f40,0,0,1,0,0,0,1
f41,5,0,2,0,21,4,1
f42,0,0,0,0,0,2,0
f5,13,33,34,5,8,39,26
f6,4,43,1,8,10,23,49
f7,10,3,3,1,9,39,50
f8,6,12,7,12,38,22,29
f9,0,5,1,2,10,17,38
